class,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
aberta,0.0,0.0,-0.08466881513595581,-0.01769387722015381,-0.1562374234199524,-0.10530072450637817,-0.21252721548080444,-0.17436397075653076,-0.2674098610877991,-0.20662462711334229,-0.12206029891967773,-0.34535276889801025,-0.15781140327453613,-0.47648459672927856,-0.17624235153198242,-0.5569947957992554,-0.18877047300338745,-0.630749523639679,-0.06919717788696289,-0.38301610946655273,-0.08963137865066528,-0.5410674214363098,-0.10054081678390503,-0.6389455795288086,-0.10896313190460205,-0.7198257446289062,-0.01573127508163452,-0.3793335556983948,-0.02237182855606079,-0.5289773941040039,-0.029644370079040527,-0.6201358735561371,-0.03937947750091553,-0.7048703730106354,0.037152111530303955,-0.3469439744949341,0.05339217185974121,-0.4667460322380066,0.06170612573623657,-0.5454077124595642,0.06543964147567749,-0.62473064661026
aberta,0.0,0.0,-0.08917397260665894,-0.027267396450042725,-0.16140174865722656,-0.11289501190185547,-0.23021751642227173,-0.18494778871536255,-0.3015720844268799,-0.22330504655838013,-0.12037438154220581,-0.3974895477294922,-0.16196584701538086,-0.5610929131507874,-0.18577194213867188,-0.6613542139530182,-0.2016560435295105,-0.7547811567783356,-0.05801701545715332,-0.44056200981140137,-0.08295559883117676,-0.6353341042995453,-0.09625798463821411,-0.7562355995178223,-0.105624258518219,-0.86094731092453,0.006577432155609131,-0.43335485458374023,-0.004476964473724365,-0.6201529502868652,-0.013000428676605225,-0.7373828887939453,-0.022244572639465332,-0.8478366732597351,0.07156229019165039,-0.39050543308258057,0.09600973129272461,-0.5350704193115234,0.1100044846534729,-0.6334003806114197,0.11872506141662598,-0.7310325503349304
aberta,0.0,0.0,-0.051643431186676025,-0.01251441240310669,-0.09239375591278076,-0.0666971206665039,-0.12446558475494385,-0.11421048641204834,-0.15808618068695068,-0.13140588998794556,-0.06875896453857422,-0.20968520641326904,-0.0865408182144165,-0.29223328828811646,-0.09629160165786743,-0.34276801347732544,-0.10329502820968628,-0.38916367292404175,-0.037461698055267334,-0.23147791624069214,-0.04691416025161743,-0.32730787992477417,-0.05170196294784546,-0.38731712102890015,-0.05535995960235596,-0.4380893409252167,-0.005791187286376953,-0.22816264629364014,-0.00804150104522705,-0.3185015916824341,-0.010616481304168701,-0.37351787090301514,-0.014666616916656494,-0.4232417345046997,0.025498569011688232,-0.20716911554336548,0.03792852163314819,-0.27799084782600403,0.04497450590133667,-0.32355982065200806,0.049460649490356445,-0.3688449561595917
aberta,0.0,0.0,-0.05977708101272583,-0.014886975288391113,-0.10541635751724243,-0.07426798343658447,-0.14303219318389893,-0.11962670087814331,-0.18183815479278564,-0.13693368434906006,-0.07976841926574707,-0.23779314756393433,-0.10037410259246826,-0.32689565420150757,-0.11201947927474976,-0.38310977816581726,-0.12039446830749512,-0.4322913885116577,-0.04486274719238281,-0.2617194652557373,-0.05788522958755493,-0.3654794692993164,-0.06580525636672974,-0.4288293719291687,-0.07197493314743042,-0.4821092486381531,-0.008491098880767822,-0.2601679563522339,-0.014068365097045898,-0.3629642128944397,-0.018956899642944336,-0.4237537980079651,-0.02467358112335205,-0.47742247581481934,0.02743464708328247,-0.2389814853668213,0.03916126489639282,-0.32078632712364197,0.04457277059555054,-0.3740537762641907,0.046617865562438965,-0.42448854446411133
aberta,0.0,0.0,-0.06359514594078064,-0.02219313383102417,-0.11570626497268677,-0.09077101945877075,-0.15676558017730713,-0.14875978231430054,-0.1976611614227295,-0.17207831144332886,-0.08168506622314453,-0.28161489963531494,-0.10179203748703003,-0.3866649866104126,-0.1127040684223175,-0.4499989449977875,-0.12047678232192993,-0.507422000169754,-0.04190105199813843,-0.3035752773284912,-0.053207993507385254,-0.4272119402885437,-0.05980294942855835,-0.5035918056964874,-0.06576812267303467,-0.5658246278762817,-0.002536475658416748,-0.29605770111083984,-0.0054132938385009766,-0.41502779722213745,-0.01019972562789917,-0.48609626293182373,-0.0171583890914917,-0.5497013032436371,0.03575247526168823,-0.2654659152030945,0.051100194454193115,-0.356800377368927,0.0589674711227417,-0.41842174530029297,0.06301110982894897,-0.47832322120666504
aberta,0.0,0.0,-0.06791400909423828,-0.020220160484313965,-0.12724781036376953,-0.08441740274429321,-0.17218130826950073,-0.13026535511016846,-0.21274185180664062,-0.13820219039916992,-0.10120674967765808,-0.2778118848800659,-0.12620091438293457,-0.3805975317955017,-0.14299479126930237,-0.4418126344680786,-0.15768539905548096,-0.49701496958732605,-0.06504493951797485,-0.30462080240249634,-0.08123290538787842,-0.43158888816833496,-0.09408029913902283,-0.511178731918335,-0.10604256391525269,-0.5763414204120636,-0.028387486934661865,-0.30339229106903076,-0.036781907081604004,-0.4244014620780945,-0.04844939708709717,-0.49903860688209534,-0.06149277091026306,-0.5641681551933289,0.008287221193313599,-0.280544638633728,0.016770750284194946,-0.380942702293396,0.017985671758651733,-0.45079073309898376,0.015833497047424316,-0.5167607963085175
aberta,0.0,0.0,-0.07283315062522888,-0.008188188076019287,-0.13158726692199707,-0.0646405816078186,-0.18579640984535217,-0.11088693141937256,-0.24162602424621582,-0.11284500360488892,-0.11776015162467957,-0.27786195278167725,-0.15458819270133972,-0.3888024091720581,-0.17581912875175476,-0.4599015712738037,-0.19177934527397156,-0.5249419212341309,-0.07809540629386902,-0.31743189692497253,-0.1026807427406311,-0.4524047374725342,-0.11568376421928406,-0.5350517332553864,-0.1260940432548523,-0.6080745756626129,-0.03482109308242798,-0.3204050660133362,-0.046840786933898926,-0.4578586220741272,-0.0542636513710022,-0.5392879843711853,-0.06430667638778687,-0.6110152900218964,0.010290205478668213,-0.29392433166503906,0.02448168396949768,-0.3965790569782257,0.030946999788284302,-0.4688745141029358,0.03228375315666199,-0.5370014905929565
aberta,0.0,0.0,-0.06736540794372559,-0.021873176097869873,-0.11915969848632812,-0.09169107675552368,-0.16789859533309937,-0.15206217765808105,-0.21931767463684082,-0.17492735385894775,-0.0864948034286499,-0.3066898286342621,-0.10927015542984009,-0.4268192648887634,-0.12105685472488403,-0.5018731653690338,-0.12856999039649963,-0.5695768296718597,-0.040640413761138916,-0.33567118644714355,-0.05066883563995361,-0.4748618006706238,-0.05658489465713501,-0.5586397051811218,-0.06112098693847656,-0.630019336938858,0.0037746429443359375,-0.32679715752601624,0.004314780235290527,-0.45786821842193604,0.004475772380828857,-0.5348787307739258,0.001479029655456543,-0.6030113399028778,0.04499959945678711,-0.29034319519996643,0.0627903938293457,-0.38851043581962585,0.07400524616241455,-0.4533005356788635,0.0807337760925293,-0.5144701302051544
aberta,0.0,0.0,-0.06511187553405762,-0.029751896858215332,-0.11505323648452759,-0.10814416408538818,-0.15977466106414795,-0.17397809028625488,-0.2085159718990326,-0.20004206895828247,-0.0789945125579834,-0.31028082966804504,-0.09840643405914307,-0.4316622018814087,-0.10774558782577515,-0.5054892301559448,-0.11338621377944946,-0.5718911588191986,-0.03373318910598755,-0.3332565426826477,-0.04005861282348633,-0.46910884976387024,-0.0419350266456604,-0.5499424636363983,-0.04290175437927246,-0.6183154881000519,0.009843170642852783,-0.320931077003479,0.01175832748413086,-0.45124930143356323,0.012817919254302979,-0.5254743993282318,0.011598050594329834,-0.5921792387962341,0.05044221878051758,-0.28486379981040955,0.06845217943191528,-0.382604718208313,0.0795632004737854,-0.4447667598724365,0.0876571536064148,-0.5045671463012695
aberta,0.0,0.0,-0.05756723880767822,-0.03694194555282593,-0.09527069330215454,-0.11722105741500854,-0.12764978408813477,-0.19272810220718384,-0.17117840051651,-0.23133277893066406,-0.06273233890533447,-0.3079105019569397,-0.07824409008026123,-0.42513465881347656,-0.0840960144996643,-0.49619579315185547,-0.0853341817855835,-0.5617029964923859,-0.02095264196395874,-0.32612714171409607,-0.023044347763061523,-0.45456528663635254,-0.02246028184890747,-0.5318427383899689,-0.02087700366973877,-0.5984982252120972,0.018644332885742188,-0.3110182285308838,0.02360987663269043,-0.43347692489624023,0.025456130504608154,-0.5041736364364624,0.025634050369262695,-0.5684438049793243,0.056151747703552246,-0.2725868225097656,0.07562059164047241,-0.36284005641937256,0.08753544092178345,-0.4187524914741516,0.09728461503982544,-0.4739774167537689
